round,domain,item,delta_mean,delta_sd,HDI_lower,HDI_upper,sig,direction,grade,actual_dif
8,쓰기,28,-0.20886895653601073,0.15281332501475273,-0.48985523,0.10350403,False,-,A(무시),N
8,쓰기,29,-0.12528861331615598,0.17156098800369216,-0.46769026,0.19586401,False,-,A(무시),N
8,쓰기,30,0.11441449389877333,0.14818829829502148,-0.18089695,0.40378327,False,-,A(무시),N
8,듣기,1,-0.058179603304647665,0.10586757047858397,-0.26079924,0.14749123,False,-,A(무시),N
8,듣기,2,-0.014829609283541432,0.11932995570612973,-0.25158126,0.21415289,False,-,A(무시),N
8,듣기,3,-0.004748285763841333,0.1045876212859422,-0.21291142,0.20099375,False,-,A(무시),N
8,듣기,4,-0.042787896278028995,0.11280419290314356,-0.26350823,0.17543838,False,-,A(무시),N
8,듣기,5,-0.2107677351112733,0.1179963748384668,-0.43634982,0.025720236,False,-,A(무시),N
8,듣기,6,-0.08339352042164601,0.1080817623617327,-0.29886095,0.11770268,False,-,A(무시),Y
8,듣기,7,0.13098327714097635,0.1163458718327847,-0.08635763,0.36289949,False,-,A(무시),N
8,듣기,8,0.1816953657234919,0.12935171650627422,-0.056808289,0.44443364,False,-,A(무시),Y
8,듣기,9,-0.005068225836882867,0.12088515506169703,-0.2426629,0.22560053,False,-,A(무시),N
8,듣기,10,0.23701421955021332,0.10672448484453029,0.015953308,0.42949363,True,남유리,C(큰),Y
8,듣기,11,-0.07659864611706967,0.1069832487786419,-0.28397568,0.13290702,False,-,A(무시),N
8,듣기,12,0.006083072254634334,0.14093987210672332,-0.26068783,0.27859111,False,-,A(무시),N
8,듣기,13,0.05368006180717667,0.09710231211525695,-0.13823743,0.24125203,False,-,A(무시),N
8,듣기,14,-0.15127755819757366,0.11576024912313339,-0.36809616,0.079376532,False,-,A(무시),Y
8,듣기,15,0.11051265093288666,0.11886997608761844,-0.11638829,0.33822966,False,-,A(무시),N
8,듣기,16,0.12367331493322,0.11892640858039015,-0.10251292,0.36052533,False,-,A(무시),N
8,듣기,17,0.05666853242815,0.1520030388628437,-0.22452196,0.37176655,False,-,A(무시),N
8,듣기,18,0.04779828351116333,0.1658590841611092,-0.26644028,0.37722871,False,-,A(무시),N
8,듣기,19,-0.095869582726892,0.1082973681779609,-0.3195148,0.10701512,False,-,A(무시),Y
8,듣기,20,0.11340016980012534,0.12154362075993165,-0.1071345,0.36175023,False,-,A(무시),N
8,듣기,21,0.04413044515554233,0.09813312222535903,-0.1321585,0.24479435,False,-,A(무시),N
8,듣기,22,-0.45260546226503334,0.1443844354816601,-0.72746886,-0.16076829,True,여유리,C(큰),Y
8,듣기,23,0.08724596231444799,0.10791149178035837,-0.11095282,0.30469284,False,-,A(무시),N
8,듣기,24,0.08143823734940334,0.11857220743257775,-0.1436626,0.31838704,False,-,A(무시),N
8,듣기,25,0.09974773822373066,0.10099383605070407,-0.10473476,0.29225693,False,-,A(무시),N
8,듣기,26,-0.11720929493252,0.13323396948987062,-0.3712226,0.14682143,False,-,A(무시),N
8,듣기,27,-0.1919725397506367,0.11172856543588722,-0.43055601,0.013543784,False,-,A(무시),Y
8,듣기,28,-0.04902519401841433,0.10885793092745126,-0.26209701,0.15562875,False,-,A(무시),Y
8,듣기,29,0.17480535517287699,0.13039834993475474,-0.078442757,0.42615581,False,-,A(무시),N
8,듣기,30,-0.13402551699900633,0.11282024703432629,-0.361454,0.085972249,False,-,A(무시),N
8,읽기,1,0.23691448363245332,0.14413113774077874,-0.04813815,0.50630827,False,-,A(무시),Y
8,읽기,2,0.2992887414828333,0.10707430159713681,0.091427819,0.51256952,True,남유리,C(큰),Y
8,읽기,3,0.423388115814,0.12434884817672935,0.18592723,0.6719678,True,남유리,C(큰),Y
8,읽기,4,-0.023562083478729998,0.15192266177094607,-0.31506171,0.27369211,False,-,A(무시),Y
8,읽기,5,0.010726375761072002,0.1362829515304806,-0.25359549,0.28207797,False,-,A(무시),N
8,읽기,6,0.028714308565125662,0.11803078918059925,-0.1969229,0.26531617,False,-,A(무시),N
8,읽기,7,0.036043817447617664,0.1505562818005734,-0.24725292,0.33667628,False,-,A(무시),N
8,읽기,8,0.048449211172120005,0.10160518294450031,-0.14804383,0.24540044,False,-,A(무시),Y
8,읽기,9,0.10085717339528666,0.12301091399784293,-0.15631637,0.32767117,False,-,A(무시),Y
8,읽기,10,0.09774053830833998,0.1341292197365966,-0.16216783,0.34730096,False,-,A(무시),Y
8,읽기,11,-0.14287230861075567,0.13255072306660376,-0.41679391,0.098761361,False,-,A(무시),N
8,읽기,12,0.05355981396135,0.11442463727468061,-0.15983956,0.28564161,False,-,A(무시),N
8,읽기,13,-0.05524721116798533,0.11596331499087778,-0.27820197,0.1785012,False,-,A(무시),N
8,읽기,14,0.07005009315238134,0.12418156172928525,-0.16239234,0.3283509,False,-,A(무시),N
8,읽기,15,-0.2509541294668,0.12613493488418154,-0.49706092,-0.0044676556,True,여유리,C(큰),Y
8,읽기,16,-0.10072466008656333,0.14904012454339574,-0.39740474,0.19264133,False,-,A(무시),N
8,읽기,17,-0.02393536626844666,0.13116688818055386,-0.26151174,0.24560588,False,-,A(무시),N
8,읽기,18,-0.03854938506674864,0.14103344802246007,-0.29914691,0.24885366,False,-,A(무시),N
8,읽기,19,0.10115169933774001,0.15129778699012134,-0.20508162,0.38265257,False,-,A(무시),N
8,읽기,20,0.040842076521555665,0.13637155996534242,-0.20938568,0.3131809,False,-,A(무시),N
8,읽기,21,-0.044358767163474,0.1136660557832498,-0.27305369,0.1747647,False,-,A(무시),N
8,읽기,22,-0.0538860645207596,0.1473841089188362,-0.34098259,0.23044364,False,-,A(무시),N
8,읽기,23,-0.16624169777957334,0.11722670413920834,-0.39285868,0.065220261,False,-,A(무시),N
8,읽기,24,0.026284394862143436,0.1327883660782484,-0.2184734,0.31030713,False,-,A(무시),N
8,읽기,25,-0.2544641079828953,0.14542389411153014,-0.5261836,0.033726513,False,-,A(무시),N
8,읽기,26,0.0641353839027207,0.1495137241644684,-0.22256675,0.37167994,False,-,A(무시),N
8,읽기,27,-0.11756885357218266,0.13470363681319772,-0.3945003,0.1281146,False,-,A(무시),N
8,읽기,28,-0.01723261073321,0.15661481755061274,-0.33227525,0.264291,False,-,A(무시),N
8,읽기,29,-0.08852397603142569,0.1144123669790635,-0.30046618,0.14822532,False,-,A(무시),N
8,읽기,30,-0.11022920091149035,0.10386937021678211,-0.32641027,0.081382135,False,-,A(무시),N
9,어휘문법,1,0.24971663045652,0.2076368565274418,-0.15844177,0.65649525,False,-,A(무시),Y
9,어휘문법,2,-0.125297378779454,0.1550075382724125,-0.43466332,0.17426949,False,-,A(무시),N
9,어휘문법,3,0.10189806478716332,0.1485731154377978,-0.18799983,0.3959631,False,-,A(무시),N
9,어휘문법,4,-0.25584284098331,0.23807888648060607,-0.70303933,0.20976639,False,-,A(무시),N
9,어휘문법,5,-0.30074289846921004,0.20422303136871323,-0.6839821,0.095173835,False,-,A(무시),N
9,어휘문법,6,-0.172921982610405,0.15487510226017503,-0.48016431,0.13269125,False,-,A(무시),N
9,어휘문법,7,-0.019749436645,0.1712643121611202,-0.34210875,0.32598344,False,-,A(무시),N
9,어휘문법,8,0.050900515930109996,0.17397611717361247,-0.28964815,0.38107751,False,-,A(무시),Y
9,어휘문법,9,-0.14048730400974868,0.15583784995495636,-0.46532193,0.13917824,False,-,A(무시),N
9,어휘문법,10,0.08011433918958033,0.12228112128573801,-0.1531274,0.3238883,False,-,A(무시),N
9,어휘문법,11,0.408919216516,0.10873710675056208,0.20141674,0.6158824,True,남유리,C(큰),Y
