predictor,mean,sd,q025,q975
Program 1,-0.598,0.1437,-0.8784,-0.3149
Program 3,0.7164,0.137,0.4465,0.9803
Program 4,1.7492,0.1373,1.481,2.0171
Female×Prog1,-0.0513,0.1411,-0.3257,0.2263
Female×Prog3,-0.197,0.1162,-0.4244,0.0247
Female×Prog4,-0.2241,0.1185,-0.4613,0.0051
SES,0.1788,0.0349,0.1106,0.2464
